Image Sticker,Slice Index,Model,IoU,Dice
lung_074,292,EfficientSAM (VIT-small),0.4145952836201402,0.5861680558684388
lung_074,293,EfficientSAM (VIT-tiny),0.3141809290953545,0.4781395348837209
lung_074,293,EfficientSAM (VIT-small),0.3880832282471627,0.5591642062230298
lung_074,294,EfficientSAM (VIT-tiny),0.4024390243902439,0.5739130434782609
lung_074,294,EfficientSAM (VIT-small),0.4491292392300641,0.6198608475648324
lung_074,295,EfficientSAM (VIT-tiny),0.6045411542100284,0.7535377358490566
lung_074,295,EfficientSAM (VIT-small),0.5583138173302108,0.7165614667868951
lung_074,296,EfficientSAM (VIT-tiny),0.449119373776908,0.6198514517218096
lung_074,296,EfficientSAM (VIT-small),0.3877654196157735,0.5588342440801457
lung_074,297,EfficientSAM (VIT-tiny),0.4154826065654091,0.5870543440636898
lung_074,297,EfficientSAM (VIT-small),0.3774278215223097,0.5480182926829268
lung_074,298,EfficientSAM (VIT-tiny),0.4454976303317535,0.6163934426229508
lung_074,298,EfficientSAM (VIT-small),0.3579718998167379,0.5272154745838956
lung_074,299,EfficientSAM (VIT-tiny),0.5232312565997888,0.687001733102253
lung_074,299,EfficientSAM (VIT-small),0.4448818897637795,0.6158038147138964
lung_074,300,EfficientSAM (VIT-tiny),0.5649241146711635,0.7219827586206896
lung_074,300,EfficientSAM (VIT-small),0.4371951219512195,0.6084005091217649
lung_074,301,EfficientSAM (VIT-tiny),0.5738984941438929,0.7292700212615166
lung_074,301,EfficientSAM (VIT-small),0.485244040862656,0.6534199465036301
lung_074,302,EfficientSAM (VIT-tiny),0.4488095238095238,0.6195562859490551
lung_074,302,EfficientSAM (VIT-small),0.3467843631778058,0.5149812734082397
lung_074,303,EfficientSAM (VIT-tiny),0.4971623155505107,0.6641394996209249
lung_074,303,EfficientSAM (VIT-small),0.4101326899879373,0.58169375534645
lung_074,304,EfficientSAM (VIT-tiny),0.5591715976331361,0.7172675521821632
lung_074,304,EfficientSAM (VIT-small),0.4273989898989899,0.5988500663423264
lung_074,305,EfficientSAM (VIT-tiny),0.3997970573313039,0.5712214570496557
lung_074,305,EfficientSAM (VIT-small),0.4505431675242996,0.6212061489948758
lung_074,306,EfficientSAM (VIT-tiny),0.4280510018214936,0.5994897959183674
lung_074,306,EfficientSAM (VIT-small),0.4550669216061185,0.6254927726675427
lung_074,307,EfficientSAM (VIT-tiny),0.3902686264571718,0.5614290922347794
lung_074,307,EfficientSAM (VIT-small),0.39453125,0.5658263305322129
lung_074,308,EfficientSAM (VIT-tiny),0.2931854199683043,0.4534313725490196
lung_074,308,EfficientSAM (VIT-small),0.229994404029099,0.3739763421292084
lung_074,309,EfficientSAM (VIT-tiny),0.2809315866084425,0.4386363636363636
lung_074,309,EfficientSAM (VIT-small),0.2751817237798546,0.4315960912052117
lung_074,310,EfficientSAM (VIT-tiny),0.2605187319884726,0.4133516232281664
lung_074,310,EfficientSAM (VIT-small),0.2644287396937573,0.4182580344666977
lung_074,311,EfficientSAM (VIT-tiny),0.2978260869565217,0.4589614740368509
lung_074,311,EfficientSAM (VIT-small),0.3145869947275923,0.4786096256684492
lung_074,312,EfficientSAM (VIT-tiny),0.2443438914027149,0.3927272727272727
lung_074,312,EfficientSAM (VIT-small),0.2273391812865497,0.3704586063132817
lung_074,313,EfficientSAM (VIT-tiny),0.2165206508135169,0.3559670781893004
lung_074,313,EfficientSAM (VIT-small),0.145344943067649,0.2538011695906432
lung_074,314,EfficientSAM (VIT-tiny),0.2360080917060013,0.3818876159301691
lung_074,314,EfficientSAM (VIT-small),0.2196914033798677,0.3602409638554217
lung_074,315,EfficientSAM (VIT-tiny),0.2328042328042328,0.3776824034334764
lung_074,315,EfficientSAM (VIT-small),0.2148465381870092,0.3537015276145711
lung_074,316,EfficientSAM (VIT-tiny),0.2250384024577573,0.367398119122257
lung_074,316,EfficientSAM (VIT-small),0.1640449438202247,0.2818532818532818
lung_074,317,EfficientSAM (VIT-tiny),0.2438271604938271,0.3920595533498759
lung_074,317,EfficientSAM (VIT-small),0.2006125574272588,0.3341836734693877
lung_074,318,EfficientSAM (VIT-tiny),0.2363330529857022,0.382312925170068
lung_074,318,EfficientSAM (VIT-small),0.2156697556866048,0.3548163548163548
lung_074,319,EfficientSAM (VIT-tiny),0.2541946308724832,0.4053511705685618
lung_074,319,EfficientSAM (VIT-small),0.2121212121212121,0.35
lung_074,320,EfficientSAM (VIT-tiny),0.2657232704402515,0.4198757763975155
lung_074,320,EfficientSAM (VIT-small),0.2390648567119155,0.3858794887401096
lung_074,321,EfficientSAM (VIT-tiny),0.4969696969696969,0.6639676113360324
lung_074,321,EfficientSAM (VIT-small),0.3010033444816054,0.4627249357326478
lung_074,322,EfficientSAM (VIT-tiny),0.436046511627907,0.6072874493927125
lung_074,322,EfficientSAM (VIT-small),0.2345276872964169,0.3799472295514511
lung_074,323,EfficientSAM (VIT-tiny),0.50187265917603,0.6683291770573566
lung_074,323,EfficientSAM (VIT-small),0.2572614107883817,0.4092409240924092
lung_074,324,EfficientSAM (VIT-tiny),0.4848484848484848,0.6530612244897959
lung_074,324,EfficientSAM (VIT-small),0.2685714285714285,0.4234234234234234
lung_074,325,EfficientSAM (VIT-tiny),0.45,0.6206896551724138
